dimension,bin_center,count,true_mean,pred_mean,mae
valence,-0.95,405,-1.0,-0.1673678929147161,0.8326321070852839
valence,-0.8500000000000001,0,,,
valence,-0.75,0,,,
valence,-0.6499999999999999,0,,,
valence,-0.55,0,,,
valence,-0.44999999999999996,0,,,
valence,-0.3499999999999999,0,,,
valence,-0.24999999999999994,0,,,
valence,-0.14999999999999997,0,,,
valence,-0.04999999999999999,0,,,
valence,0.050000000000000044,240,0.0,0.42872452716498327,0.8423106802084173
valence,0.15000000000000013,0,,,
valence,0.2500000000000001,0,,,
valence,0.3500000000000001,0,,,
valence,0.45000000000000007,0,,,
valence,0.55,0,,,
valence,0.6500000000000001,364,0.6666666865348816,0.7024116242882683,0.4343244929332286
valence,0.7500000000000001,0,,,
valence,0.8500000000000001,0,,,
valence,0.9500000000000001,642,1.0,0.6784265205014578,0.32157347949854215
arousal,-0.95,0,,,
arousal,-0.8500000000000001,0,,,
arousal,-0.75,0,,,
arousal,-0.6499999999999999,0,,,
arousal,-0.55,0,,,
arousal,-0.44999999999999996,0,,,
arousal,-0.3499999999999999,359,-0.3333333432674408,-0.19566958617551308,0.6038765112219591
arousal,-0.24999999999999994,0,,,
arousal,-0.14999999999999997,0,,,
arousal,-0.04999999999999999,0,,,
arousal,0.050000000000000044,424,0.0,-0.15195254138522596,0.6330469809607098
arousal,0.15000000000000013,0,,,
arousal,0.2500000000000001,0,,,
arousal,0.3500000000000001,257,0.3333333432674408,-0.06146336740774287,0.6770407213332994
arousal,0.45000000000000007,0,,,
arousal,0.55,0,,,
arousal,0.6500000000000001,176,0.6666666865348816,0.14027552137849852,0.6650170321438715
arousal,0.7500000000000001,0,,,
arousal,0.8500000000000001,0,,,
arousal,0.9500000000000001,435,1.0,-0.24035121923708624,1.2403512192370862
